R Z Br Bz
0.000000000000000000e+00 -2.399999999999999911e-01 0.000000000000000000e+00 -4.401433267337579032e-20
0.000000000000000000e+00 -2.389999999999999902e-01 0.000000000000000000e+00 1.657185849505211819e-04
0.000000000000000000e+00 -2.379999999999999893e-01 0.000000000000000000e+00 3.446977539710356533e-04
0.000000000000000000e+00 -2.369999999999999885e-01 0.000000000000000000e+00 5.356955775823152950e-04
0.000000000000000000e+00 -2.359999999999999876e-01 0.000000000000000000e+00 7.374701263020562144e-04
0.000000000000000000e+00 -2.349999999999999867e-01 0.000000000000000000e+00 9.487794706518883027e-04
0.000000000000000000e+00 -2.339999999999999858e-01 0.000000000000000000e+00 1.168381681152741219e-03
0.000000000000000000e+00 -2.329999999999999849e-01 0.000000000000000000e+00 1.395034828313727361e-03
0.000000000000000000e+00 -2.319999999999999840e-01 0.000000000000000000e+00 1.627496982645580334e-03
0.000000000000000000e+00 -2.309999999999999831e-01 0.000000000000000000e+00 1.864526214685463881e-03
0.000000000000000000e+00 -2.299999999999999822e-01 0.000000000000000000e+00 2.104880594932618306e-03
0.000000000000000000e+00 -2.289999999999999813e-01 0.000000000000000000e+00 2.347318193921889978e-03
0.000000000000000000e+00 -2.279999999999999805e-01 0.000000000000000000e+00 2.590597081888033285e-03
0.000000000000000000e+00 -2.269999999999999796e-01 0.000000000000000000e+00 2.833764016387322390e-03
0.000000000000000000e+00 -2.259999999999999787e-01 0.000000000000000000e+00 3.077020498127706807e-03
0.000000000000000000e+00 -2.249999999999999778e-01 0.000000000000000000e+00 3.320856715161433180e-03
0.000000000000000000e+00 -2.239999999999999769e-01 0.000000000000000000e+00 3.565762855228035624e-03
0.000000000000000000e+00 -2.229999999999999760e-01 0.000000000000000000e+00 3.812229106105608119e-03
0.000000000000000000e+00 -2.219999999999999751e-01 0.000000000000000000e+00 4.060745655659898055e-03
0.000000000000000000e+00 -2.210000000000000020e-01 0.000000000000000000e+00 4.311728053204736538e-03
0.000000000000000000e+00 -2.200000000000000011e-01 0.000000000000000000e+00 4.565293296284694477e-03
0.000000000000000000e+00 -2.190000000000000002e-01 0.000000000000000000e+00 4.821483743904751706e-03
0.000000000000000000e+00 -2.179999999999999993e-01 0.000000000000000000e+00 5.080341755177368059e-03
0.000000000000000000e+00 -2.169999999999999984e-01 0.000000000000000000e+00 5.341909689225462880e-03
0.000000000000000000e+00 -2.159999999999999976e-01 0.000000000000000000e+00 5.606229905113138852e-03
0.000000000000000000e+00 -2.149999999999999967e-01 0.000000000000000000e+00 5.873365625745387113e-03
0.000000000000000000e+00 -2.139999999999999958e-01 0.000000000000000000e+00 6.143463528478292426e-03
0.000000000000000000e+00 -2.129999999999999949e-01 0.000000000000000000e+00 6.416691154517540664e-03
0.000000000000000000e+00 -2.119999999999999940e-01 0.000000000000000000e+00 6.693216045025823444e-03
0.000000000000000000e+00 -2.109999999999999931e-01 0.000000000000000000e+00 6.973205741153362322e-03
0.000000000000000000e+00 -2.099999999999999922e-01 0.000000000000000000e+00 7.256827784064659101e-03
0.000000000000000000e+00 -2.089999999999999913e-01 0.000000000000000000e+00 7.544251110249811099e-03
0.000000000000000000e+00 -2.079999999999999905e-01 0.000000000000000000e+00 7.835650237496619153e-03
0.000000000000000000e+00 -2.069999999999999896e-01 0.000000000000000000e+00 8.131201078935258730e-03
0.000000000000000000e+00 -2.059999999999999887e-01 0.000000000000000000e+00 8.431079547697152565e-03
0.000000000000000000e+00 -2.049999999999999878e-01 0.000000000000000000e+00 8.735461556938264524e-03
0.000000000000000000e+00 -2.039999999999999869e-01 0.000000000000000000e+00 9.044523019671775119e-03
0.000000000000000000e+00 -2.029999999999999860e-01 0.000000000000000000e+00 9.358438934048774263e-03
0.000000000000000000e+00 -2.019999999999999851e-01 0.000000000000000000e+00 9.677380636994040164e-03
0.000000000000000000e+00 -2.009999999999999842e-01 0.000000000000000000e+00 1.000151855065782927e-02
0.000000000000000000e+00 -1.999999999999999833e-01 0.000000000000000000e+00 1.033102309692924582e-02
0.000000000000000000e+00 -1.989999999999999825e-01 0.000000000000000000e+00 1.066606469775339787e-02
0.000000000000000000e+00 -1.979999999999999816e-01 0.000000000000000000e+00 1.100681377518880795e-02
0.000000000000000000e+00 -1.969999999999999807e-01 0.000000000000000000e+00 1.135345087200291710e-02
0.000000000000000000e+00 -1.960000000000000075e-01 0.000000000000000000e+00 1.170619701380316152e-02
0.000000000000000000e+00 -1.950000000000000067e-01 0.000000000000000000e+00 1.206528334733721584e-02
0.000000000000000000e+00 -1.940000000000000058e-01 0.000000000000000000e+00 1.243094101900429037e-02
0.000000000000000000e+00 -1.930000000000000049e-01 0.000000000000000000e+00 1.280340117545821117e-02
0.000000000000000000e+00 -1.920000000000000040e-01 0.000000000000000000e+00 1.318289496324037691e-02
0.000000000000000000e+00 -1.910000000000000031e-01 0.000000000000000000e+00 1.356965637977852052e-02
0.000000000000000000e+00 -1.900000000000000022e-01 0.000000000000000000e+00 1.396393082589576090e-02
0.000000000000000000e+00 -1.890000000000000013e-01 0.000000000000000000e+00 1.436596655350359450e-02
0.000000000000000000e+00 -1.880000000000000004e-01 0.000000000000000000e+00 1.477601181450614344e-02
0.000000000000000000e+00 -1.869999999999999996e-01 0.000000000000000000e+00 1.519431486055415267e-02
0.000000000000000000e+00 -1.859999999999999987e-01 0.000000000000000000e+00 1.562112394348274050e-02
0.000000000000000000e+00 -1.849999999999999978e-01 0.000000000000000000e+00 1.605669328459834871e-02
0.000000000000000000e+00 -1.839999999999999969e-01 0.000000000000000000e+00 1.650130098235475309e-02
0.000000000000000000e+00 -1.829999999999999960e-01 0.000000000000000000e+00 1.695523110468443589e-02
0.000000000000000000e+00 -1.819999999999999951e-01 0.000000000000000000e+00 1.741876771963081494e-02
0.000000000000000000e+00 -1.809999999999999942e-01 0.000000000000000000e+00 1.789219489502567179e-02
0.000000000000000000e+00 -1.799999999999999933e-01 0.000000000000000000e+00 1.837579669884127631e-02
0.000000000000000000e+00 -1.789999999999999925e-01 0.000000000000000000e+00 1.886986974742239920e-02
0.000000000000000000e+00 -1.779999999999999916e-01 0.000000000000000000e+00 1.937476085016843347e-02
0.000000000000000000e+00 -1.769999999999999907e-01 0.000000000000000000e+00 1.989082936494074305e-02
0.000000000000000000e+00 -1.759999999999999898e-01 0.000000000000000000e+00 2.041843464948572481e-02
0.000000000000000000e+00 -1.749999999999999889e-01 0.000000000000000000e+00 2.095793606180516508e-02
0.000000000000000000e+00 -1.739999999999999880e-01 0.000000000000000000e+00 2.150969295954631780e-02
0.000000000000000000e+00 -1.729999999999999871e-01 0.000000000000000000e+00 2.207407138059335958e-02
0.000000000000000000e+00 -1.719999999999999862e-01 0.000000000000000000e+00 2.265146408248830748e-02
0.000000000000000000e+00 -1.709999999999999853e-01 0.000000000000000000e+00 2.324227050298875719e-02
0.000000000000000000e+00 -1.699999999999999845e-01 0.000000000000000000e+00 2.384689007951456760e-02
0.000000000000000000e+00 -1.689999999999999836e-01 0.000000000000000000e+00 2.446572224979687293e-02
0.000000000000000000e+00 -1.679999999999999827e-01 0.000000000000000000e+00 2.509916645126651982e-02
0.000000000000000000e+00 -1.669999999999999818e-01 0.000000000000000000e+00 2.574763784089806676e-02
0.000000000000000000e+00 -1.659999999999999809e-01 0.000000000000000000e+00 2.641161445147261963e-02
0.000000000000000000e+00 -1.649999999999999800e-01 0.000000000000000000e+00 2.709159003521834780e-02
0.000000000000000000e+00 -1.639999999999999791e-01 0.000000000000000000e+00 2.778805834423622376e-02
0.000000000000000000e+00 -1.629999999999999782e-01 0.000000000000000000e+00 2.850151313065462169e-02
0.000000000000000000e+00 -1.619999999999999774e-01 0.000000000000000000e+00 2.923244814641597078e-02
0.000000000000000000e+00 -1.609999999999999765e-01 0.000000000000000000e+00 2.998137006864020834e-02
0.000000000000000000e+00 -1.599999999999999756e-01 0.000000000000000000e+00 3.074883727188889790e-02
0.000000000000000000e+00 -1.589999999999999747e-01 0.000000000000000000e+00 3.153542105579273946e-02
0.000000000000000000e+00 -1.579999999999999738e-01 0.000000000000000000e+00 3.234169271983763222e-02
0.000000000000000000e+00 -1.569999999999999729e-01 0.000000000000000000e+00 3.316822356361125157e-02
0.000000000000000000e+00 -1.559999999999999720e-01 0.000000000000000000e+00 3.401558488640798322e-02
0.000000000000000000e+00 -1.549999999999999711e-01 0.000000000000000000e+00 3.488436697932745939e-02
0.000000000000000000e+00 -1.539999999999999702e-01 0.000000000000000000e+00 3.577523609744980015e-02
0.000000000000000000e+00 -1.529999999999999694e-01 0.000000000000000000e+00 3.668887748755309680e-02
0.000000000000000000e+00 -1.519999999999999962e-01 0.000000000000000000e+00 3.762597639640916092e-02
0.000000000000000000e+00 -1.509999999999999953e-01 0.000000000000000000e+00 3.858721807070267240e-02
0.000000000000000000e+00 -1.499999999999999944e-01 0.000000000000000000e+00 3.957328775679113536e-02
0.000000000000000000e+00 -1.489999999999999936e-01 0.000000000000000000e+00 4.058489571480300429e-02
0.000000000000000000e+00 -1.479999999999999927e-01 0.000000000000000000e+00 4.162285225494532365e-02
0.000000000000000000e+00 -1.469999999999999918e-01 0.000000000000000000e+00 4.268799270106195948e-02
0.000000000000000000e+00 -1.459999999999999909e-01 0.000000000000000000e+00 4.378115237660949038e-02
0.000000000000000000e+00 -1.449999999999999900e-01 0.000000000000000000e+00 4.490316660537575083e-02
0.000000000000000000e+00 -1.439999999999999891e-01 0.000000000000000000e+00 4.605487071064292420e-02
0.000000000000000000e+00 -1.429999999999999882e-01 0.000000000000000000e+00 4.723712236988673180e-02
0.000000000000000000e+00 -1.419999999999999873e-01 0.000000000000000000e+00 4.845086867272045683e-02
0.000000000000000000e+00 -1.409999999999999865e-01 0.000000000000000000e+00 4.969707906276411846e-02
0.000000000000000000e+00 -1.399999999999999856e-01 0.000000000000000000e+00 5.097672298361864696e-02
0.000000000000000000e+00 -1.389999999999999847e-01 0.000000000000000000e+00 5.229076987859056919e-02
0.000000000000000000e+00 -1.379999999999999838e-01 0.000000000000000000e+00 5.364018919089896115e-02
0.000000000000000000e+00 -1.369999999999999829e-01 0.000000000000000000e+00 5.502598126223719882e-02
0.000000000000000000e+00 -1.359999999999999820e-01 0.000000000000000000e+00 5.644927002218237677e-02
0.000000000000000000e+00 -1.350000000000000089e-01 0.000000000000000000e+00 5.791121029871746512e-02
0.000000000000000000e+00 -1.340000000000000080e-01 0.000000000000000000e+00 5.941295691981317295e-02
0.000000000000000000e+00 -1.330000000000000071e-01 0.000000000000000000e+00 6.095566471314255858e-02
0.000000000000000000e+00 -1.320000000000000062e-01 0.000000000000000000e+00 6.254048850599916443e-02
0.000000000000000000e+00 -1.310000000000000053e-01 0.000000000000000000e+00 6.416862964008021586e-02
0.000000000000000000e+00 -1.300000000000000044e-01 0.000000000000000000e+00 6.584147550435644203e-02
0.000000000000000000e+00 -1.290000000000000036e-01 0.000000000000000000e+00 6.756046000226108295e-02
0.000000000000000000e+00 -1.280000000000000027e-01 0.000000000000000000e+00 6.932701703667214221e-02
0.000000000000000000e+00 -1.270000000000000018e-01 0.000000000000000000e+00 7.114258051059252352e-02
0.000000000000000000e+00 -1.260000000000000009e-01 0.000000000000000000e+00 7.300858432661158637e-02
0.000000000000000000e+00 -1.249999999999999861e-01 0.000000000000000000e+00 7.492647324493731387e-02
0.000000000000000000e+00 -1.239999999999999852e-01 0.000000000000000000e+00 7.689773545240606578e-02
0.000000000000000000e+00 -1.229999999999999843e-01 0.000000000000000000e+00 7.892386999321183982e-02
0.000000000000000000e+00 -1.219999999999999835e-01 0.000000000000000000e+00 8.100637591149231764e-02
0.000000000000000000e+00 -1.209999999999999826e-01 0.000000000000000000e+00 8.314675225136484993e-02
