  Z(cm)          B(V/cm)        Bz(0,0)        By(0,Y1)       Bx(0,y1)      By(x1,0)        Bx(x1,0)       Bx(x2,y2)         Bz(x2,y2)     By(x2,y2)
  3.820000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3.940000      0.1979301E-01  0.1979301E-01 -0.5406675       0.000000       0.000000     -0.5406675     -0.2416385     -0.2719492E-02 -0.2416385    
  4.060000      0.3959471E-01  0.3959471E-01 -0.5408629       0.000000       0.000000     -0.5408629     -0.2417647     -0.5432171E-02 -0.2417647    
  4.180000      0.5941218E-01  0.5941218E-01 -0.5411810       0.000000       0.000000     -0.5411810     -0.2418545     -0.8136023E-02 -0.2418545    
  4.300000      0.7925621E-01  0.7925621E-01 -0.5416235       0.000000       0.000000     -0.5416235     -0.2419796     -0.1086066E-01 -0.2419796    
  4.420000      0.9913506E-01  0.9913506E-01 -0.5421922       0.000000       0.000000     -0.5421922     -0.2421406     -0.1364334E-01 -0.2421406    
  4.540000      0.1190643      0.1190643     -0.5429041       0.000000       0.000000     -0.5429041     -0.2423422     -0.1633288E-01 -0.2423422    
  4.660000      0.1390475      0.1390475     -0.5437413       0.000000       0.000000     -0.5437413     -0.2425789     -0.1906791E-01 -0.2425789    
  4.780000      0.1590922      0.1590922     -0.5447052       0.000000       0.000000     -0.5447052     -0.2428516     -0.2177894E-01 -0.2428516    
  4.900000      0.1792060      0.1792060     -0.5457937       0.000000       0.000000     -0.5457937     -0.2431594     -0.2450244E-01 -0.2431594    
  5.020000      0.1993973      0.1993973     -0.5470098       0.000000       0.000000     -0.5470098     -0.2435027     -0.2728804E-01 -0.2435027    
  5.140000      0.2196861      0.2196861     -0.5483704       0.000000       0.000000     -0.5483704     -0.2438866     -0.3002864E-01 -0.2438866    
  5.260000      0.2400748      0.2400748     -0.5498571       0.000000       0.000000     -0.5498571     -0.2443058     -0.3288776E-01 -0.2443058    
  5.380000      0.2605749      0.2605749     -0.5514717       0.000000       0.000000     -0.5514717     -0.2447598     -0.3567428E-01 -0.2447598    
  5.500000      0.2811911      0.2811911     -0.5532134       0.000000       0.000000     -0.5532134     -0.2452493     -0.3843924E-01 -0.2452493    
  5.620000      0.3019308      0.3019308     -0.5550830       0.000000       0.000000     -0.5550830     -0.2457742     -0.4120968E-01 -0.2457742    
  5.740000      0.3228235      0.3228235     -0.5570976       0.000000       0.000000     -0.5570976     -0.2463396     -0.4395784E-01 -0.2463396    
  5.860000      0.3438659      0.3438659     -0.5592400       0.000000       0.000000     -0.5592400     -0.2469392     -0.4689012E-01 -0.2469392    
  5.980000      0.3650648      0.3650648     -0.5615104       0.000000       0.000000     -0.5615104     -0.2475742     -0.4979157E-01 -0.2475742    
  6.100000      0.3864250      0.3864250     -0.5639083       0.000000       0.000000     -0.5639083     -0.2482434     -0.5257833E-01 -0.2482434    
  6.220000      0.4079561      0.4079561     -0.5664352       0.000000       0.000000     -0.5664352     -0.2489477     -0.5536391E-01 -0.2489477    
  6.340000      0.4296975      0.4296975     -0.5691106       0.000000       0.000000     -0.5691106     -0.2496911     -0.5826664E-01 -0.2496911    
  6.460000      0.4516337      0.4516337     -0.5719154       0.000000       0.000000     -0.5719154     -0.2504686     -0.6120886E-01 -0.2504686    
  6.580000      0.4737767      0.4737767     -0.5748507       0.000000       0.000000     -0.5748507     -0.2512816     -0.6415812E-01 -0.2512816    
  6.700000      0.4961362      0.4961362     -0.5779148       0.000000       0.000000     -0.5779148     -0.2521263     -0.6710026E-01 -0.2521263    
  6.820000      0.5187251      0.5187251     -0.5811105       0.000000       0.000000     -0.5811105     -0.2530075     -0.6993710E-01 -0.2530075    
  6.940000      0.5415902      0.5415902     -0.5844560       0.000000       0.000000     -0.5844560     -0.2539263     -0.7302986E-01 -0.2539263    
  7.060000      0.5647068      0.5647068     -0.5879334       0.000000       0.000000     -0.5879334     -0.2548796     -0.7600757E-01 -0.2548796    
  7.180000      0.5880859      0.5880859     -0.5915446       0.000000       0.000000     -0.5915446     -0.2558650     -0.7906193E-01 -0.2558650    
  7.300000      0.6117378      0.6117378     -0.5952890       0.000000       0.000000     -0.5952890     -0.2568832     -0.8205251E-01 -0.2568832    
  7.420000      0.6356733      0.6356733     -0.5991657       0.000000       0.000000     -0.5991657     -0.2579370     -0.8519726E-01 -0.2579370    
  7.540000      0.6599455      0.6599455     -0.6031967       0.000000       0.000000     -0.6031967     -0.2590283     -0.8852386E-01 -0.2590283    
  7.660000      0.6845316      0.6845316     -0.6073613       0.000000       0.000000     -0.6073613     -0.2601508     -0.9154331E-01 -0.2601508    
  7.780000      0.7094455      0.7094455     -0.6116632       0.000000       0.000000     -0.6116632     -0.2613060     -0.9473176E-01 -0.2613060    
  7.900000      0.7346930      0.7346930     -0.6161014       0.000000       0.000000     -0.6161014     -0.2624969     -0.9785514E-01 -0.2624969    
  8.020000      0.7602879      0.7602879     -0.6206732       0.000000       0.000000     -0.6206732     -0.2637159     -0.1009888     -0.2637159    
  8.140000      0.7862980      0.7862980     -0.6254026       0.000000       0.000000     -0.6254026     -0.2649737     -0.1043327     -0.2649737    
  8.260000      0.8126835      0.8126835     -0.6302695       0.000000       0.000000     -0.6302695     -0.2662622     -0.1076434     -0.2662622    
  8.380000      0.8394632      0.8394632     -0.6352766       0.000000       0.000000     -0.6352766     -0.2675826     -0.1110204     -0.2675826    
  8.500000      0.8666500      0.8666500     -0.6404219       0.000000       0.000000     -0.6404219     -0.2689342     -0.1141433     -0.2689342    
  8.620000      0.8942577      0.8942577     -0.6457052       0.000000       0.000000     -0.6457052     -0.2703196     -0.1176333     -0.2703196    
  8.740000      0.9223654      0.9223654     -0.6511505       0.000000       0.000000     -0.6511505     -0.2717380     -0.1210499     -0.2717380    
  8.860000      0.9509300      0.9509300     -0.6567378       0.000000       0.000000     -0.6567378     -0.2731891     -0.1244633     -0.2731891    
  8.980000      0.9799667      0.9799667     -0.6624616       0.000000       0.000000     -0.6624616     -0.2746673     -0.1277805     -0.2746673    
  9.100000       1.009487       1.009487     -0.6683301       0.000000       0.000000     -0.6683301     -0.2761750     -0.1316013     -0.2761750    
  9.220000       1.039511       1.039511     -0.6743419       0.000000       0.000000     -0.6743419     -0.2777149     -0.1349359     -0.2777149    
  9.340000       1.070132       1.070132     -0.6805174       0.000000       0.000000     -0.6805174     -0.2792884     -0.1386606     -0.2792884    
  9.460000       1.101296       1.101296     -0.6868385       0.000000       0.000000     -0.6868385     -0.2808898     -0.1421681     -0.2808898    
  9.580000       1.133021       1.133021     -0.6933013       0.000000       0.000000     -0.6933013     -0.2825194     -0.1460918     -0.2825194    
  9.700000       1.165324       1.165324     -0.6999095       0.000000       0.000000     -0.6999095     -0.2841774     -0.1497730     -0.2841774    
  9.820000       1.198225       1.198225     -0.7066651       0.000000       0.000000     -0.7066651     -0.2858631     -0.1534120     -0.2858631    
  9.940000       1.231836       1.231836     -0.7135879       0.000000       0.000000     -0.7135879     -0.2875822     -0.1573212     -0.2875822    
  10.06000       1.266089       1.266089     -0.7206568       0.000000       0.000000     -0.7206568     -0.2893257     -0.1609131     -0.2893257    
  10.18000       1.301009       1.301009     -0.7278754       0.000000       0.000000     -0.7278754     -0.2910956     -0.1648812     -0.2910956    
  10.30000       1.336614       1.336614     -0.7352406       0.000000       0.000000     -0.7352406     -0.2928924     -0.1689404     -0.2928924    
  10.42000       1.372929       1.372929     -0.7427514       0.000000       0.000000     -0.7427514     -0.2947173     -0.1728224     -0.2947173    
  10.54000       1.410086       1.410086     -0.7504352       0.000000       0.000000     -0.7504352     -0.2965682     -0.1770373     -0.2965682    
  10.66000       1.448003       1.448003     -0.7582660       0.000000       0.000000     -0.7582660     -0.2984449     -0.1809691     -0.2984449    
  10.78000       1.486708       1.486708     -0.7662472       0.000000       0.000000     -0.7662472     -0.3003454     -0.1852123     -0.3003454    
  10.90000       1.526224       1.526224     -0.7743816       0.000000       0.000000     -0.7743816     -0.3022727     -0.1893277     -0.3022727    
  11.02000       1.566581       1.566581     -0.7826645       0.000000       0.000000     -0.7826645     -0.3042184     -0.1932855     -0.3042184    
  11.14000       1.607932       1.607932     -0.7911257       0.000000       0.000000     -0.7911257     -0.3061910     -0.1976148     -0.3061910    
  11.26000       1.650185       1.650185     -0.7997376       0.000000       0.000000     -0.7997376     -0.3081870     -0.2022361     -0.3081870    
  11.38000       1.693370       1.693370     -0.8084993       0.000000       0.000000     -0.8084993     -0.3102064     -0.2066052     -0.3102064    
  11.50000       1.737514       1.737514     -0.8174139       0.000000       0.000000     -0.8174139     -0.3122421     -0.2108348     -0.3122421    
  11.62000       1.782653       1.782653     -0.8264813       0.000000       0.000000     -0.8264813     -0.3143038     -0.2150722     -0.3143038    
  11.74000       1.828968       1.828968     -0.8357234       0.000000       0.000000     -0.8357234     -0.3163863     -0.2202378     -0.3163863    
  11.86000       1.876349       1.876349     -0.8451184       0.000000       0.000000     -0.8451184     -0.3184887     -0.2249092     -0.3184887    
  11.98000       1.924833       1.924833     -0.8546666       0.000000       0.000000     -0.8546666     -0.3206086     -0.2296209     -0.3206086    
  12.10000       1.974451       1.974451     -0.8643684       0.000000       0.000000     -0.8643684     -0.3227445     -0.2343792     -0.3227445    
  12.22000       2.025245       2.025245     -0.8742208       0.000000       0.000000     -0.8742208     -0.3248990     -0.2393969     -0.3248990    
  12.34000       2.077436       2.077436     -0.8842494       0.000000       0.000000     -0.8842494     -0.3270736     -0.2441043     -0.3270736    
  12.46000       2.130888       2.130888     -0.8944313       0.000000       0.000000     -0.8944313     -0.3292631     -0.2488373     -0.3292631    
  12.58000       2.185650       2.185650     -0.9047638       0.000000       0.000000     -0.9047638     -0.3314658     -0.2538084     -0.3314658    
  12.70000       2.241760       2.241760     -0.9152470       0.000000       0.000000     -0.9152470     -0.3336815     -0.2589847     -0.3336815    
  12.82000       2.299264       2.299264     -0.9258834       0.000000       0.000000     -0.9258834     -0.3359170     -0.2640170     -0.3359170    
  12.94000       2.358427       2.358427     -0.9366941       0.000000       0.000000     -0.9366941     -0.3381616     -0.2691389     -0.3381616    
  13.06000       2.419090       2.419090     -0.9476545       0.000000       0.000000     -0.9476545     -0.3404212     -0.2745053     -0.3404212    
  13.18000       2.481312       2.481312     -0.9587627       0.000000       0.000000     -0.9587627     -0.3426851     -0.2797416     -0.3426851    
  13.30000       2.545137       2.545137     -0.9700199       0.000000       0.000000     -0.9700199     -0.3449618     -0.2849679     -0.3449618    
  13.42000       2.610625       2.610625     -0.9814265       0.000000       0.000000     -0.9814265     -0.3472476     -0.2909859     -0.3472476    
  13.54000       2.678087       2.678087     -0.9930010       0.000000       0.000000     -0.9930010     -0.3495441     -0.2961257     -0.3495441    
  13.66000       2.747337       2.747337      -1.004721       0.000000       0.000000      -1.004721     -0.3518465     -0.3020248     -0.3518465    
  13.78000       2.818444       2.818444      -1.016586       0.000000       0.000000      -1.016586     -0.3541546     -0.3076596     -0.3541546    
  13.90000       2.891462       2.891462      -1.028594       0.000000       0.000000      -1.028594     -0.3564714     -0.3131527     -0.3564714    
  14.02000       2.966462       2.966462      -1.040747       0.000000       0.000000      -1.040747     -0.3587906     -0.3190456     -0.3587906    
  14.14000       3.043817       3.043817      -1.053055       0.000000       0.000000      -1.053055     -0.3611108     -0.3252732     -0.3611108    
  14.26000       3.123307       3.123307      -1.065504       0.000000       0.000000      -1.065504     -0.3634379     -0.3314638     -0.3634379    
  14.38000       3.205024       3.205024      -1.078086       0.000000       0.000000      -1.078086     -0.3657564     -0.3373572     -0.3657564    
  14.50000       3.289048       3.289048      -1.090804       0.000000       0.000000      -1.090804     -0.3680862     -0.3431394     -0.3680862    
  14.62000       3.375469       3.375469      -1.103648       0.000000       0.000000      -1.103648     -0.3704082     -0.3492172     -0.3704082    
  14.74000       3.464741       3.464741      -1.116643       0.000000       0.000000      -1.116643     -0.3727252     -0.3559000     -0.3727252    
  14.86000       3.556583       3.556583      -1.129762       0.000000       0.000000      -1.129762     -0.3750421     -0.3619977     -0.3750421    
  14.98000       3.651088       3.651088      -1.143004       0.000000       0.000000      -1.143004     -0.3773547     -0.3687792     -0.3773547    
  15.10000       3.748332       3.748332      -1.156368       0.000000       0.000000      -1.156368     -0.3796676     -0.3755929     -0.3796676    
  15.22000       3.848434       3.848434      -1.169849       0.000000       0.000000      -1.169849     -0.3819643     -0.3818719     -0.3819643    
  15.34000       3.951978       3.951978      -1.183463       0.000000       0.000000      -1.183463     -0.3842501     -0.3886578     -0.3842501    
  15.46000       4.058648       4.058648      -1.197183       0.000000       0.000000      -1.197183     -0.3865329     -0.3952348     -0.3865329    
  15.58000       4.168541       4.168541      -1.211011       0.000000       0.000000      -1.211011     -0.3887966     -0.4024681     -0.3887966    
  15.70000       4.281752       4.281752      -1.224943       0.000000       0.000000      -1.224943     -0.3910512     -0.4085719     -0.3910512    
  15.82000       4.398440       4.398440      -1.238970       0.000000       0.000000      -1.238970     -0.3932948     -0.4158862     -0.3932948    
  15.94000       4.519309       4.519309      -1.253103       0.000000       0.000000      -1.253103     -0.3955209     -0.4232661     -0.3955209    
  16.06000       4.643934       4.643934      -1.267323       0.000000       0.000000      -1.267323     -0.3977311     -0.4299246     -0.3977311    
  16.18000       4.772475       4.772475      -1.281624       0.000000       0.000000      -1.281624     -0.3999232     -0.4381711     -0.3999232    
