 Z Ez
-1.499999999999999944e-01 -5.480000000000000000e+06
-1.496999999999999997e-01 -5.481000000000000000e+06
-1.494999999999999940e-01 -5.485000000000000000e+06
-1.491999999999999993e-01 -5.490000000000000000e+06
-1.489999999999999936e-01 -5.498000000000000000e+06
-1.486999999999999988e-01 -5.508000000000000000e+06
-1.484999999999999931e-01 -5.521000000000000000e+06
-1.481999999999999984e-01 -5.535000000000000000e+06
-1.479999999999999927e-01 -5.551000000000000000e+06
-1.476999999999999980e-01 -5.570000000000000000e+06
-1.474999999999999922e-01 -5.590000000000000000e+06
-1.471999999999999975e-01 -5.613000000000000000e+06
-1.469999999999999918e-01 -5.637000000000000000e+06
-1.466999999999999971e-01 -5.663000000000000000e+06
-1.464999999999999913e-01 -5.691000000000000000e+06
-1.461999999999999966e-01 -5.720000000000000000e+06
-1.459999999999999909e-01 -5.751000000000000000e+06
-1.456999999999999962e-01 -5.784000000000000000e+06
-1.454999999999999905e-01 -5.818000000000000000e+06
-1.451999999999999957e-01 -5.853000000000000000e+06
-1.449999999999999900e-01 -5.890000000000000000e+06
-1.446999999999999953e-01 -5.928000000000000000e+06
-1.444999999999999896e-01 -5.967000000000000000e+06
-1.441999999999999948e-01 -6.007000000000000000e+06
-1.439999999999999891e-01 -6.048000000000000000e+06
-1.438000000000000111e-01 -6.090000000000000000e+06
-1.434999999999999887e-01 -6.133000000000000000e+06
-1.433000000000000107e-01 -6.177000000000000000e+06
-1.429999999999999882e-01 -6.222000000000000000e+06
-1.428000000000000103e-01 -6.267000000000000000e+06
-1.424999999999999878e-01 -6.313000000000000000e+06
-1.423000000000000098e-01 -6.360000000000000000e+06
-1.419999999999999873e-01 -6.406000000000000000e+06
-1.418000000000000094e-01 -6.454000000000000000e+06
-1.414999999999999869e-01 -6.502000000000000000e+06
-1.413000000000000089e-01 -6.551000000000000000e+06
-1.409999999999999865e-01 -6.599000000000000000e+06
-1.408000000000000085e-01 -6.648000000000000000e+06
-1.405000000000000138e-01 -6.698000000000000000e+06
-1.403000000000000080e-01 -6.747000000000000000e+06
-1.400000000000000133e-01 -6.797000000000000000e+06
-1.398000000000000076e-01 -6.847000000000000000e+06
-1.395000000000000129e-01 -6.897000000000000000e+06
-1.393000000000000071e-01 -6.948000000000000000e+06
-1.390000000000000124e-01 -6.998000000000000000e+06
-1.388000000000000067e-01 -7.048000000000000000e+06
-1.385000000000000120e-01 -7.099000000000000000e+06
-1.383000000000000063e-01 -7.150000000000000000e+06
-1.380000000000000115e-01 -7.200000000000000000e+06
-1.378000000000000058e-01 -7.251000000000000000e+06
-1.375000000000000111e-01 -7.301000000000000000e+06
-1.373000000000000054e-01 -7.352000000000000000e+06
-1.370000000000000107e-01 -7.402000000000000000e+06
-1.368000000000000049e-01 -7.452000000000000000e+06
-1.365000000000000102e-01 -7.503000000000000000e+06
-1.363000000000000045e-01 -7.553000000000000000e+06
-1.360000000000000098e-01 -7.603000000000000000e+06
-1.358000000000000040e-01 -7.653000000000000000e+06
-1.355000000000000093e-01 -7.703000000000000000e+06
-1.353000000000000036e-01 -7.753000000000000000e+06
-1.350000000000000089e-01 -7.802000000000000000e+06
-1.348000000000000032e-01 -7.851000000000000000e+06
-1.345000000000000084e-01 -7.901000000000000000e+06
-1.343000000000000027e-01 -7.950000000000000000e+06
-1.340000000000000080e-01 -7.999000000000000000e+06
-1.338000000000000023e-01 -8.048000000000000000e+06
-1.335000000000000075e-01 -8.097000000000000000e+06
-1.333000000000000018e-01 -8.146000000000000000e+06
-1.330000000000000071e-01 -8.194000000000000000e+06
-1.328000000000000014e-01 -8.242000000000000000e+06
-1.325000000000000067e-01 -8.290000000000000000e+06
-1.323000000000000009e-01 -8.338000000000000000e+06
-1.320000000000000062e-01 -8.385000000000000000e+06
-1.318000000000000005e-01 -8.433000000000000000e+06
-1.315000000000000058e-01 -8.480000000000000000e+06
-1.313000000000000000e-01 -8.528000000000000000e+06
-1.310000000000000053e-01 -8.575000000000000000e+06
-1.307999999999999996e-01 -8.622000000000000000e+06
-1.305000000000000049e-01 -8.669000000000000000e+06
-1.302999999999999992e-01 -8.715000000000000000e+06
-1.300000000000000044e-01 -8.761000000000000000e+06
-1.297999999999999987e-01 -8.808000000000000000e+06
-1.295000000000000040e-01 -8.854000000000000000e+06
-1.292999999999999983e-01 -8.900000000000000000e+06
-1.290000000000000036e-01 -8.946000000000000000e+06
-1.287999999999999978e-01 -8.991000000000000000e+06
-1.285000000000000031e-01 -9.037000000000000000e+06
-1.282999999999999974e-01 -9.082000000000000000e+06
-1.280000000000000027e-01 -9.127000000000000000e+06
-1.277999999999999969e-01 -9.173000000000000000e+06
-1.275000000000000022e-01 -9.217000000000000000e+06
-1.272999999999999965e-01 -9.263000000000000000e+06
-1.270000000000000018e-01 -9.307000000000000000e+06
-1.267999999999999960e-01 -9.352000000000000000e+06
-1.265000000000000013e-01 -9.396000000000000000e+06
-1.262999999999999956e-01 -9.440000000000000000e+06
-1.260000000000000009e-01 -9.484000000000000000e+06
-1.257999999999999952e-01 -9.528000000000000000e+06
-1.255000000000000004e-01 -9.572000000000000000e+06
-1.252999999999999947e-01 -9.616000000000000000e+06
-1.250000000000000000e-01 -9.660000000000000000e+06
-1.247000000000000053e-01 -9.703000000000000000e+06
-1.244999999999999996e-01 -9.747000000000000000e+06
-1.242000000000000048e-01 -9.790000000000000000e+06
-1.239999999999999991e-01 -9.833000000000000000e+06
-1.237000000000000044e-01 -9.876000000000000000e+06
-1.234999999999999987e-01 -9.919000000000000000e+06
-1.232000000000000040e-01 -9.962000000000000000e+06
-1.229999999999999982e-01 -1.000000000000000000e+07
-1.227000000000000035e-01 -1.005000000000000000e+07
-1.224999999999999978e-01 -1.009000000000000000e+07
-1.222000000000000031e-01 -1.013000000000000000e+07
-1.219999999999999973e-01 -1.017000000000000000e+07
-1.217000000000000026e-01 -1.022000000000000000e+07
-1.214999999999999969e-01 -1.026000000000000000e+07
-1.212000000000000022e-01 -1.030000000000000000e+07
-1.209999999999999964e-01 -1.034000000000000000e+07
-1.207000000000000017e-01 -1.038000000000000000e+07
-1.204999999999999960e-01 -1.042000000000000000e+07
-1.202000000000000013e-01 -1.046000000000000000e+07
-1.199999999999999956e-01 -1.051000000000000000e+07
-1.198000000000000037e-01 -1.055000000000000000e+07
-1.194999999999999951e-01 -1.059000000000000000e+07
-1.193000000000000033e-01 -1.063000000000000000e+07
-1.189999999999999947e-01 -1.067000000000000000e+07
-1.188000000000000028e-01 -1.071000000000000000e+07
-1.184999999999999942e-01 -1.075000000000000000e+07
-1.183000000000000024e-01 -1.078000000000000000e+07
-1.179999999999999938e-01 -1.082000000000000000e+07
-1.178000000000000019e-01 -1.086000000000000000e+07
-1.174999999999999933e-01 -1.090000000000000000e+07
-1.173000000000000015e-01 -1.094000000000000000e+07
-1.170000000000000068e-01 -1.097000000000000000e+07
-1.168000000000000010e-01 -1.101000000000000000e+07
-1.165000000000000063e-01 -1.105000000000000000e+07
-1.163000000000000006e-01 -1.108000000000000000e+07
-1.160000000000000059e-01 -1.112000000000000000e+07
-1.158000000000000002e-01 -1.115000000000000000e+07
-1.155000000000000054e-01 -1.118000000000000000e+07
-1.152999999999999997e-01 -1.122000000000000000e+07
-1.150000000000000050e-01 -1.125000000000000000e+07
-1.147999999999999993e-01 -1.128000000000000000e+07
-1.145000000000000046e-01 -1.131000000000000000e+07
-1.142999999999999988e-01 -1.134000000000000000e+07
-1.140000000000000041e-01 -1.137000000000000000e+07
-1.137999999999999984e-01 -1.139000000000000000e+07
-1.135000000000000037e-01 -1.142000000000000000e+07
-1.132999999999999979e-01 -1.144000000000000000e+07
-1.130000000000000032e-01 -1.147000000000000000e+07
-1.127999999999999975e-01 -1.149000000000000000e+07
-1.125000000000000028e-01 -1.151000000000000000e+07
-1.122999999999999970e-01 -1.153000000000000000e+07
-1.120000000000000023e-01 -1.154000000000000000e+07
-1.117999999999999966e-01 -1.156000000000000000e+07
-1.115000000000000019e-01 -1.157000000000000000e+07
-1.112999999999999962e-01 -1.158000000000000000e+07
-1.110000000000000014e-01 -1.159000000000000000e+07
-1.107999999999999957e-01 -1.160000000000000000e+07
-1.105000000000000010e-01 -1.160000000000000000e+07
-1.102999999999999953e-01 -1.160000000000000000e+07
-1.100000000000000006e-01 -1.160000000000000000e+07
-1.097999999999999948e-01 -1.160000000000000000e+07
-1.095000000000000001e-01 -1.159000000000000000e+07
-1.092000000000000054e-01 -1.158000000000000000e+07
-1.089999999999999997e-01 -1.157000000000000000e+07
-1.087000000000000050e-01 -1.155000000000000000e+07
-1.084999999999999992e-01 -1.153000000000000000e+07
-1.082000000000000045e-01 -1.150000000000000000e+07
-1.079999999999999988e-01 -1.147000000000000000e+07
-1.077000000000000041e-01 -1.144000000000000000e+07
-1.074999999999999983e-01 -1.140000000000000000e+07
-1.072000000000000036e-01 -1.136000000000000000e+07
-1.069999999999999979e-01 -1.131000000000000000e+07
-1.067000000000000032e-01 -1.126000000000000000e+07
-1.064999999999999974e-01 -1.120000000000000000e+07
-1.062000000000000027e-01 -1.114000000000000000e+07
-1.059999999999999970e-01 -1.107000000000000000e+07
-1.057000000000000023e-01 -1.099000000000000000e+07
-1.054999999999999966e-01 -1.091000000000000000e+07
-1.052000000000000018e-01 -1.083000000000000000e+07
-1.049999999999999961e-01 -1.074000000000000000e+07
-1.047000000000000014e-01 -1.064000000000000000e+07
-1.044999999999999957e-01 -1.053000000000000000e+07
-1.042000000000000010e-01 -1.042000000000000000e+07
-1.039999999999999952e-01 -1.030000000000000000e+07
-1.038000000000000034e-01 -1.018000000000000000e+07
-1.034999999999999948e-01 -1.005000000000000000e+07
-1.033000000000000029e-01 -9.913000000000000000e+06
-1.029999999999999943e-01 -9.770000000000000000e+06
-1.028000000000000025e-01 -9.622000000000000000e+06
-1.024999999999999939e-01 -9.466000000000000000e+06
-1.023000000000000020e-01 -9.305000000000000000e+06
-1.019999999999999934e-01 -9.139000000000000000e+06
-1.018000000000000016e-01 -8.967000000000000000e+06
-1.015000000000000069e-01 -8.790000000000000000e+06
-1.013000000000000012e-01 -8.607000000000000000e+06
-1.010000000000000064e-01 -8.421000000000000000e+06
-1.008000000000000007e-01 -8.231000000000000000e+06
-1.005000000000000060e-01 -8.036000000000000000e+06
-1.003000000000000003e-01 -7.839000000000000000e+06
