R Z Er Ez Bphi
0.000 -0.673 0.0 -0.00021088817868514253 -0.0
0.000 -0.672 0.0 -0.00021106466961613225 -0.0
0.000 -0.671 0.0 -0.00021195427930882334 -0.0
0.000 -0.670 0.0 -0.0002135582002695064 -0.0
0.000 -0.669 0.0 -0.00021587583624503616 -0.0
0.000 -0.668 0.0 -0.00021890659098226746 -0.0
0.000 -0.667 0.0 -0.0002226516569874906 -0.0
0.000 -0.666 0.0 -0.00022711043800756052 -0.0
0.000 -0.665 0.0 -0.00023228233778933185 -0.0
0.000 -0.664 0.0 -0.00023816854883909513 -0.0
0.000 -0.663 0.0 -0.0002447684749037051 -0.0
0.000 -0.662 0.0 -0.0002520815197300166 -0.0
0.000 -0.661 0.0 -0.00026010887582431997 -0.0
0.000 -0.660 0.0 -0.0002688499469334701 -0.0
0.000 -0.659 0.0 -0.00027830413680432167 -0.0
0.000 -0.658 0.0 -0.00028847263794316516 -0.0
0.000 -0.657 0.0 -0.00029935485409685535 -0.0
0.000 -0.656 0.0 -0.00031090964379837106 -0.0
0.000 -0.655 0.0 -0.0003234732938216249 -0.0
0.000 -0.654 0.0 -0.00033734154572665365 -0.0
0.000 -0.653 0.0 -0.0003525155920197479 -0.0
0.000 -0.652 0.0 -0.0003689948364477622 -0.0
0.000 -0.651 0.0 -0.0003867792790106967 -0.0
0.000 -0.650 0.0 -0.0004058689197085514 -0.0
0.000 -0.649 0.0 -0.0004262637585413263 -0.0
0.000 -0.648 0.0 -0.00044796379550902124 -0.0
0.000 -0.647 0.0 -0.0004709690306116365 -0.0
0.000 -0.646 0.0 -0.0004952788675960266 -0.0
0.000 -0.645 0.0 -0.000520894498968482 -0.0
0.000 -0.644 0.0 -0.0005478153284758577 -0.0
0.000 -0.643 0.0 -0.0005760413561181535 -0.0
0.000 -0.642 0.0 -0.0006055725818953695 -0.0
0.000 -0.641 0.0 -0.0006364525322871079 -0.0
0.000 -0.640 0.0 -0.0006696519074138116 -0.0
0.000 -0.639 0.0 -0.0007055642343513362 -0.0
0.000 -0.638 0.0 -0.000744195475631134 -0.0
0.000 -0.637 0.0 -0.0007855396687217526 -0.0
0.000 -0.636 0.0 -0.0008295968136231918 -0.0
0.000 -0.635 0.0 -0.0008763728728669045 -0.0
0.000 -0.634 0.0 -0.0009258618839214377 -0.0
0.000 -0.633 0.0 -0.0009780638467867919 -0.0
0.000 -0.632 0.0 -0.0010329847239944191 -0.0
0.000 -0.631 0.0 -0.0010906185530128673 -0.0
0.000 -0.630 0.0 -0.0011509653338421361 -0.0
0.000 -0.629 0.0 -0.0012140310290136781 -0.0
0.000 -0.628 0.0 -0.0012798037134645886 -0.0
0.000 -0.627 0.0 -0.001349338755261934 -0.0
0.000 -0.626 0.0 -0.0014243354758696352 -0.0
0.000 -0.625 0.0 -0.0015047700251618827 -0.0
0.000 -0.624 0.0 -0.0015906543282015815 -0.0
0.000 -0.623 0.0 -0.0016819764599258261 -0.0
0.000 -0.622 0.0 -0.0017787483453975217 -0.0
0.000 -0.621 0.0 -0.001880958059553764 -0.0
0.000 -0.620 0.0 -0.0019886175274574573 -0.0
0.000 -0.619 0.0 -0.002101714824045697 -0.0
0.000 -0.618 0.0 -0.002220255911849935 -0.0
0.000 -0.617 0.0 -0.002344240790870172 -0.0
0.000 -0.616 0.0 -0.00247367542363786 -0.0
0.000 -0.615 0.0 -0.0026099967802330156 -0.0
0.000 -0.614 0.0 -0.002756746604338338 -0.0
0.000 -0.613 0.0 -0.0029137519825417077 -0.0
0.000 -0.612 0.0 -0.003081006952311674 -0.0
0.000 -0.611 0.0 -0.003258511513648234 -0.0
0.000 -0.610 0.0 -0.003446271629082843 -0.0
0.000 -0.609 0.0 -0.0036442872986155 -0.0
0.000 -0.608 0.0 -0.003852552559714753 -0.0
0.000 -0.607 0.0 -0.004071067412380601 -0.0
0.000 -0.606 0.0 -0.004299837819144496 -0.0
0.000 -0.605 0.0 -0.004538857817474987 -0.0
0.000 -0.604 0.0 -0.0047911325232240605 -0.0
0.000 -0.603 0.0 -0.005062362116460164 -0.0
0.000 -0.602 0.0 -0.005351729730374328 -0.0
0.000 -0.601 0.0 -0.0056592472900294545 -0.0
0.000 -0.600 0.0 -0.0059848909452997374 -0.0
0.000 -0.599 0.0 -0.006328690508842435 -0.0
0.000 -0.598 0.0 -0.0066906161680002855 -0.0
0.000 -0.597 0.0 -0.007070727548087815 -0.0
0.000 -0.596 0.0 -0.007468905398475976 -0.0
0.000 -0.595 0.0 -0.007885268969793816 -0.0
0.000 -0.594 0.0 -0.008326615547897015 -0.0
0.000 -0.593 0.0 -0.008799980919899352 -0.0
0.000 -0.592 0.0 -0.009303695576994168 -0.0
0.000 -0.591 0.0 -0.009837640268552416 -0.0
0.000 -0.590 0.0 -0.01040187461988862 -0.0
0.000 -0.589 0.0 -0.010996458256317301 -0.0
0.000 -0.588 0.0 -0.011621271927209416 -0.0
0.000 -0.587 0.0 -0.012276375257879486 -0.0
0.000 -0.586 0.0 -0.012961827873642034 -0.0
0.000 -0.585 0.0 -0.01369056846774867 -0.0
0.000 -0.584 0.0 -0.014470229080458398 -0.0
0.000 -0.583 0.0 -0.015297709195416008 -0.0
0.000 -0.582 0.0 -0.016173187688565058 -0.0
0.000 -0.581 0.0 -0.017096485683961982 -0.0
0.000 -0.580 0.0 -0.018067782057550354 -0.0
0.000 -0.579 0.0 -0.01908695755870112 -0.0
0.000 -0.578 0.0 -0.020154012187414288 -0.0
0.000 -0.577 0.0 -0.021287608667135718 -0.0
0.000 -0.576 0.0 -0.022498539179794174 -0.0
0.000 -0.575 0.0 -0.023781497072397056 -0.0
0.000 -0.574 0.0 -0.02513660159557342 -0.0
0.000 -0.573 0.0 -0.026563673873379684 -0.0
0.000 -0.572 0.0 -0.028062833156444898 -0.0
0.000 -0.571 0.0 -0.029634079444769073 -0.0
0.000 -0.570 0.0 -0.03129267681887021 -0.0
0.000 -0.569 0.0 -0.033066410675316314 -0.0
0.000 -0.568 0.0 -0.034943415576517166 -0.0
0.000 -0.567 0.0 -0.03692375114778731 -0.0
0.000 -0.566 0.0 -0.0390073577638122 -0.0
0.000 -0.565 0.0 -0.04119429504990639 -0.0
0.000 -0.564 0.0 -0.04348450338075533 -0.0
0.000 -0.563 0.0 -0.0459303337825107 -0.0
0.000 -0.562 0.0 -0.0485214114504454 -0.0
0.000 -0.561 0.0 -0.0512538607391154 -0.0
0.000 -0.560 0.0 -0.05412768164852069 -0.0
0.000 -0.559 0.0 -0.057142874178661304 -0.0
0.000 -0.558 0.0 -0.06030086933708576 -0.0
0.000 -0.557 0.0 -0.06367506588597255 -0.0
0.000 -0.556 0.0 -0.0672341009098823 -0.0
0.000 -0.555 0.0 -0.07097797440881501 -0.0
0.000 -0.554 0.0 -0.07490668638277066 -0.0
0.000 -0.553 0.0 -0.07902083308489452 -0.0
0.000 -0.552 0.0 -0.08337944357656486 -0.0
0.000 -0.551 0.0 -0.08798609537665311 -0.0
0.000 -0.550 0.0 -0.09282349714394743 -0.0
0.000 -0.549 0.0 -0.0978928413847383 -0.0
0.000 -0.548 0.0 -0.10319353184588048 -0.0
0.000 -0.547 0.0 -0.10881977652432116 -0.0
0.000 -0.546 0.0 -0.11472566392787724 -0.0
0.000 -0.545 0.0 -0.12090940529711294 -0.0
0.000 -0.544 0.0 -0.12736980812573787 -0.0
0.000 -0.543 0.0 -0.13417246025972787 -0.0
0.000 -0.542 0.0 -0.14131855420537343 -0.0
0.000 -0.541 0.0 -0.14878304733057468 -0.0
0.000 -0.540 0.0 -0.15656534338218633 -0.0
0.000 -0.539 0.0 -0.16474593653481523 -0.0
0.000 -0.538 0.0 -0.17329382162490906 -0.0
0.000 -0.537 0.0 -0.18219289981754655 -0.0
0.000 -0.536 0.0 -0.19147000250426321 -0.0
0.000 -0.535 0.0 -0.20117342618982315 -0.0
0.000 -0.534 0.0 -0.21124891183800995 -0.0
0.000 -0.533 0.0 -0.22170898076487353 -0.0
0.000 -0.532 0.0 -0.2326156432975184 -0.0
0.000 -0.531 0.0 -0.24390211908367815 -0.0
0.000 -0.530 0.0 -0.2555928545023075 -0.0
0.000 -0.529 0.0 -0.2677105071729254 -0.0
0.000 -0.528 0.0 -0.2802032030718962 -0.0
0.000 -0.527 0.0 -0.2931192387039842 -0.0
0.000 -0.526 0.0 -0.30640972131127997 -0.0
0.000 -0.525 0.0 -0.3200847871972525 -0.0
0.000 -0.524 0.0 -0.3341265487675448 -0.0
0.000 -0.523 0.0 -0.34852129219981637 -0.0
0.000 -0.522 0.0 -0.36325291865914594 -0.0
0.000 -0.521 0.0 -0.3783041368043217 -0.0
0.000 -0.520 0.0 -0.39364513397808176 -0.0
0.000 -0.519 0.0 -0.40926815888953816 -0.0
0.000 -0.518 0.0 -0.42513326257796014 -0.0
0.000 -0.517 0.0 -0.4412177874238287 -0.0
0.000 -0.516 0.0 -0.4576266739807052 -0.0
0.000 -0.515 0.0 -0.47418402757074535 -0.0
0.000 -0.514 0.0 -0.490879115637335 -0.0
0.000 -0.513 0.0 -0.5076731817260336 -0.0
0.000 -0.512 0.0 -0.524519718091513 -0.0
0.000 -0.511 0.0 -0.5414097809365944 -0.0
0.000 -0.510 0.0 -0.5582718198838499 -0.0
0.000 -0.509 0.0 -0.5751195487556198 -0.0
0.000 -0.508 0.0 -0.5918641258332639 -0.0
0.000 -0.507 0.0 -0.6085299974957368 -0.0
0.000 -0.506 0.0 -0.6250342845558511 -0.0
0.000 -0.505 0.0 -0.6413835457982041 -0.0
0.000 -0.504 0.0 -0.6575300809711772 -0.0
0.000 -0.503 0.0 -0.6733606019771754 -0.0
0.000 -0.502 0.0 -0.6888631837532943 -0.0
0.000 -0.501 0.0 -0.7041034141455096 -0.0
0.000 -0.500 0.0 -0.7190216678392979 -0.0
0.000 -0.499 0.0 -0.7336358324290161 -0.0
0.000 -0.498 0.0 -0.7479041701944977 -0.0
0.000 -0.497 0.0 -0.7618326436671954 -0.0
0.000 -0.496 0.0 -0.7754033652527517 -0.0
0.000 -0.495 0.0 -0.7885865222939051 -0.0
0.000 -0.494 0.0 -0.8014000023850126 -0.0
0.000 -0.493 0.0 -0.8138020678059077 -0.0
0.000 -0.492 0.0 -0.8258225312138522 -0.0
0.000 -0.491 0.0 -0.8374136923572272 -0.0
0.000 -0.490 0.0 -0.8486053638932946 -0.0
0.000 -0.489 0.0 -0.8593736956962448 -0.0
0.000 -0.488 0.0 -0.8697246502975303 -0.0
0.000 -0.487 0.0 -0.8796701527600558 -0.0
0.000 -0.486 0.0 -0.8891744278951071 -0.0
0.000 -0.485 0.0 -0.8982792134228508 -0.0
0.000 -0.484 0.0 -0.9069427716231203 -0.0
0.000 -0.483 0.0 -0.9152008776846298 -0.0
0.000 -0.482 0.0 -0.9230356440130222 -0.0
0.000 -0.481 0.0 -0.9304589956712022 -0.0
0.000 -0.480 0.0 -0.9374768951906222 -0.0
0.000 -0.479 0.0 -0.944071454976925 -0.0
0.000 -0.478 0.0 -0.9502724876873726 -0.0
0.000 -0.477 0.0 -0.9560442181332507 -0.0
0.000 -0.476 0.0 -0.9614343465661781 -0.0
0.000 -0.475 0.0 -0.9664070977974409 -0.0
0.000 -0.474 0.0 -0.9709922844843006 -0.0
0.000 -0.473 0.0 -0.9751779815638527 -0.0
0.000 -0.472 0.0 -0.9789582265046448 -0.0
0.000 -0.471 0.0 -0.9823687944953909 -0.0
0.000 -0.470 0.0 -0.98535602275302 -0.0
0.000 -0.469 0.0 -0.9879735740606032 -0.0
0.000 -0.468 0.0 -0.990179710697974 -0.0
0.000 -0.467 0.0 -0.9920102078538464 -0.0
0.000 -0.466 0.0 -0.9934471779338636 -0.0
0.000 -0.465 0.0 -0.9944846584065731 -0.0
0.000 -0.464 0.0 -0.995140536866332 -0.0
0.000 -0.463 0.0 -0.9953850006558784 -0.0
0.000 -0.462 0.0 -0.9952538249639267 -0.0
0.000 -0.461 0.0 -0.9946993095388578 -0.0
0.000 -0.460 0.0 -0.993757229569386 -0.0
0.000 -0.459 0.0 -0.9924037349297018 -0.0
0.000 -0.458 0.0 -0.9906388256198051 -0.0
0.000 -0.457 0.0 -0.9884744267026009 -0.0
0.000 -0.456 0.0 -0.9858628379264701 -0.0
0.000 -0.455 0.0 -0.982857722074484 -0.0
0.000 -0.454 0.0 -0.9793875287692143 -0.0
0.000 -0.453 0.0 -0.9754999582622799 -0.0
0.000 -0.452 0.0 -0.9711592353649665 -0.0
0.000 -0.451 0.0 -0.9663534350143697 -0.0
0.000 -0.450 0.0 -0.9611004448048464 -0.0
0.000 -0.449 0.0 -0.9553525644847777 -0.0
0.000 -0.448 0.0 -0.9491455692428777 -0.0
0.000 -0.447 0.0 -0.9424079087017184 -0.0
0.000 -0.446 0.0 -0.9351872831129184 -0.0
0.000 -0.445 0.0 -0.9274300296934066 -0.0
0.000 -0.444 0.0 -0.9191421109746354 -0.0
0.000 -0.443 0.0 -0.9103175644251523 -0.0
0.000 -0.442 0.0 -0.9009027272618864 -0.0
0.000 -0.441 0.0 -0.8909452997364561 -0.0
0.000 -0.440 0.0 -0.8803498813456241 -0.0
0.000 -0.439 0.0 -0.8691760974039138 -0.0
0.000 -0.438 0.0 -0.857352397533897 -0.0
0.000 -0.437 0.0 -0.8448907067984783 -0.0
0.000 -0.436 0.0 -0.8317671750718485 -0.0
0.000 -0.435 0.0 -0.8179460271652933 -0.0
0.000 -0.434 0.0 -0.8034570757360745 -0.0
0.000 -0.433 0.0 -0.7882108828124068 -0.0
0.000 -0.432 0.0 -0.7722551486459092 -0.0
0.000 -0.431 0.0 -0.7555242853906053 -0.0
0.000 -0.430 0.0 -0.7380361806408529 -0.0
0.000 -0.429 0.0 -0.7197610217393897 -0.0
0.000 -0.428 0.0 -0.7006749585604064 -0.0
0.000 -0.427 0.0 -0.6807958786982601 -0.0
0.000 -0.426 0.0 -0.660058194306975 -0.0
0.000 -0.425 0.0 -0.6385155681696221 -0.0
0.000 -0.424 0.0 -0.6160964499087733 -0.0
0.000 -0.423 0.0 -0.5928527135480639 -0.0
0.000 -0.422 0.0 -0.5687420251141825 -0.0
0.000 -0.421 0.0 -0.5437930047581001 -0.0
0.000 -0.420 0.0 -0.5180044599735263 -0.0
0.000 -0.419 0.0 -0.49137221698844463 -0.0
0.000 -0.418 0.0 -0.4639433798013285 -0.0
0.000 -0.417 0.0 -0.43566309312281626 -0.0
0.000 -0.416 0.0 -0.4066351050001789 -0.0
0.000 -0.415 0.0 -0.37671631467856 -0.0
0.000 -0.414 0.0 -0.34591506970199265 -0.0
0.000 -0.413 0.0 -0.31445496499994036 -0.0
0.000 -0.412 0.0 -0.28236640948281 -0.0
0.000 -0.411 0.0 -0.24966729074495866 -0.0
0.000 -0.410 0.0 -0.21649713202237142 -0.0
0.000 -0.409 0.0 -0.18280048177254135 -0.0
0.000 -0.408 0.0 -0.14877410353339615 -0.0
0.000 -0.407 0.0 -0.11435658323097656 -0.0
0.000 -0.406 0.0 -0.07973454809974123 -0.0
0.000 -0.405 0.0 -0.044887785158066705 -0.0
0.000 -0.404 0.0 -0.009968219707358957 -0.0
0.000 -0.403 0.0 0.024998091989935245 -0.0
0.000 -0.402 0.0 0.05990793851437566 -0.0
0.000 -0.401 0.0 0.09468082569135552 -0.0
0.000 -0.400 0.0 0.129265296874441 -0.0
0.000 -0.399 0.0 0.1635426976877303 -0.0
0.000 -0.398 0.0 0.19750229557460913 -0.0
0.000 -0.397 0.0 0.2310027785396568 -0.0
0.000 -0.396 0.0 0.2640644191898113 -0.0
0.000 -0.395 0.0 0.2965298066947303 -0.0
0.000 -0.394 0.0 0.3284502188249043 -0.0
0.000 -0.393 0.0 0.3596736110282982 -0.0
0.000 -0.392 0.0 0.39024589479709504 -0.0
0.000 -0.391 0.0 0.4200627258308787 -0.0
0.000 -0.390 0.0 0.4491175453450517 -0.0
0.000 -0.389 0.0 0.4773918694921116 -0.0
0.000 -0.388 0.0 0.5046931085061475 -0.0
0.000 -0.387 0.0 0.531046305019259 -0.0
0.000 -0.386 0.0 0.5565921747737219 -0.0
0.000 -0.385 0.0 0.5812251809628296 -0.0
0.000 -0.384 0.0 0.6050419165961101 -0.0
0.000 -0.383 0.0 0.6279797750933136 -0.0
0.000 -0.382 0.0 0.6500769166557354 -0.0
0.000 -0.381 0.0 0.6713333412833753 -0.0
0.000 -0.380 0.0 0.6917371239133286 -0.0
0.000 -0.379 0.0 0.7113359647972143 -0.0
0.000 -0.378 0.0 0.7300881262148657 -0.0
0.000 -0.377 0.0 0.7480711210751636 -0.0
0.000 -0.376 0.0 0.7652312865950369 -0.0
0.000 -0.375 0.0 0.7816461356833657 -0.0
0.000 -0.374 0.0 0.7972977807457935 -0.0
0.000 -0.373 0.0 0.812204109376677 -0.0
0.000 -0.372 0.0 0.8264068592961827 -0.0
0.000 -0.371 0.0 0.8398821803785015 -0.0
0.000 -0.370 0.0 0.8527075855325137 -0.0
0.000 -0.369 0.0 0.8648234494436958 -0.0
0.000 -0.368 0.0 0.8763192100838332 -0.0
0.000 -0.367 0.0 0.8871650547956641 -0.0
0.000 -0.366 0.0 0.8974027212993548 -0.0
0.000 -0.365 0.0 0.907038172126358 -0.0
0.000 -0.364 0.0 0.9160773698081257 -0.0
0.000 -0.363 0.0 0.924568014596277 -0.0
0.000 -0.362 0.0 0.932462406239193 -0.0
0.000 -0.361 0.0 0.9398440201772065 -0.0
0.000 -0.360 0.0 0.9466711186901511 -0.0
0.000 -0.359 0.0 0.9529854394981934 -0.0
0.000 -0.358 0.0 0.9587929451327856 -0.0
0.000 -0.357 0.0 0.9640876730624754 -0.0
0.000 -0.356 0.0 0.9689113610074294 -0.0
0.000 -0.355 0.0 0.9732163087160285 -0.0
0.000 -0.354 0.0 0.9770800290971535 -0.0
0.000 -0.353 0.0 0.9804428968362808 -0.0
0.000 -0.352 0.0 0.9833645372479339 -0.0
0.000 -0.351 0.0 0.9858151376748513 -0.0
0.000 -0.350 0.0 0.9878125857113896 -0.0
0.000 -0.349 0.0 0.9893688064204539 -0.0
0.000 -0.348 0.0 0.9904539871447822 -0.0
0.000 -0.347 0.0 0.9911158281359934 -0.0
0.000 -0.346 0.0 0.991312591673921 -0.0
0.000 -0.345 0.0 0.991074090415827 -0.0
0.000 -0.344 0.0 0.9903883992988063 -0.0
0.000 -0.343 0.0 0.9892555183228592 -0.0
0.000 -0.342 0.0 0.9876814100194379 -0.0
0.000 -0.341 0.0 0.9856362617312806 -0.0
0.000 -0.340 0.0 0.983161811178554 -0.0
0.000 -0.339 0.0 0.9801984330467344 -0.0
0.000 -0.338 0.0 0.9767878650559881 -0.0
0.000 -0.337 0.0 0.9729002945490538 -0.0
